Date of Sale,Sku,Serial # (IMEI),Device Model,Warranty Sku,Contract ID,Customer Name,Ship To,Administrator Email,Address,Address 2,City,State,Zipcode,Administrator Phone,Store Location,,,,,,,,,,,,,,,,,
12/22/2015,100054,356988063821983,iphone 6,ACP6ST12FA0-WX,,Buddys,339,manager339@buddyrents.com,5234 Rufe Snow Dr.,Suite A,North Richland Hills,TX,76180,,,,,,,,,,,,,,,,,,,
12/22/2015,100055,359302062260994,iphone 6,ACP6ST12FA0-WX,,Buddys,339,manager339@buddyrents.com,5234 Rufe Snow Dr.,Suite A,North Richland Hills,TX,76180,,,,,,,,,,,,,,,,,,,
12/22/2015,100056,356989064324894,iphone 6,ACP6ST12FA0-WX,,Buddys,339,manager339@buddyrents.com,5234 Rufe Snow Dr.,Suite A,North Richland Hills,TX,76180,,,,,,,,,,,,,,,,,,,
12/30/2015,220001,353425062373925,S5 Active,SMPS5T12FA0-WX,,Buddys,321,manager321@buddyrents.com,9 Eglin Pkwy NE; Suite #1C,,FT Walton Beach,FL,32548,,,,,,,,,,,,,,,,,,,
12/30/2015,220001,353425062409000,S5 Active,SMPS5T12FA0-WX,,Buddys,321,manager321@buddyrents.com,9 Eglin Pkwy NE; Suite #1C,,FT Walton Beach,FL,32548,,,,,,,,,,,,,,,,,,,
12/30/2015,220001,353501060224235,S5 Active,SMPS5T12FA0-WX,,Buddys,321,manager321@buddyrents.com,9 Eglin Pkwy NE; Suite #1C,,FT Walton Beach,FL,32548,,,,,,,,,,,,,,,,,,,
12/30/2015,220001,353501060607090,S5 Active,SMPS5T12FA0-WX,,Buddys,321,manager321@buddyrents.com,9 Eglin Pkwy NE; Suite #1C,,FT Walton Beach,FL,32548,,,,,,,,,,,,,,,,,,,
12/30/2015,220001,353501064049547,S5 Active,SMPS5T12FA0-WX,,Buddys,321,manager321@buddyrents.com,9 Eglin Pkwy NE; Suite #1C,,FT Walton Beach,FL,32548,,,,,,,,,,,,,,,,,,,
12/30/2015,200001,353920060569714,Galaxy S5,SMPS5T12FA0-WX,,Buddys,321,manager321@buddyrents.com,9 Eglin Pkwy NE; Suite #1C,,FT Walton Beach,FL,32548,,,,,,,,,,,,,,,,,,,
12/30/2015,200001,354691063458630,Galaxy S5,SMPS5T12FA0-WX,,Buddys,321,manager321@buddyrents.com,9 Eglin Pkwy NE; Suite #1C,,FT Walton Beach,FL,32548,,,,,,,,,,,,,,,,,,,
12/30/2015,200001,353411067050858,Galaxy S5,SMPS5T12FA0-WX,,Buddys,321,manager321@buddyrents.com,9 Eglin Pkwy NE; Suite #1C,,FT Walton Beach,FL,32548,,,,,,,,,,,,,,,,,,,
12/30/2015,200024,357572052675680,Note 3,SMPNT3T12FA0-WX,,Buddys,321,manager321@buddyrents.com,9 Eglin Pkwy NE; Suite #1C,,FT Walton Beach,FL,32548,,,,,,,,,,,,,,,,,,,
12/30/2015,200024,357572052235600,Note 3,SMPNT3T12FA0-WX,,Buddys,321,manager321@buddyrents.com,9 Eglin Pkwy NE; Suite #1C,,FT Walton Beach,FL,32548,,,,,,,,,,,,,,,,,,,
12/30/2015,200027,356204065623736,Note 4,SMPNT4T12FA0-WX,,Buddys,321,manager321@buddyrents.com,9 Eglin Pkwy NE; Suite #1C,,FT Walton Beach,FL,32548,,,,,,,,,,,,,,,,,,,
12/31/2015,200001,353411065755722,Galaxy S5,SMPS5T12FA0-WX,,Buddys,308,manager308@buddyrents.com,2004 W Walnut St. Suite 101,,Rogers,AR,72756,,,,,,,,,,,,,,,,,,,
12/31/2015,200001,353411066099773,Galaxy S5,SMPS5T12FA0-WX,,Buddys,308,manager308@buddyrents.com,2004 W Walnut St. Suite 101,,Rogers,AR,72756,,,,,,,,,,,,,,,,,,,
12/31/2015,200001,353411066206204,Galaxy S5,SMPS5T12FA0-WX,,Buddys,308,manager308@buddyrents.com,2004 W Walnut St. Suite 101,,Rogers,AR,72756,,,,,,,,,,,,,,,,,,,
12/31/2015,200001,353411061566552,Galaxy S5,SMPS5T12FA0-WX,,Buddys,308,manager308@buddyrents.com,2004 W Walnut St. Suite 101,,Rogers,AR,72756,,,,,,,,,,,,,,,,,,,
12/31/2015,210033,359356061467885,Galaxy S6,SMPS6T12FA0-WX,,Buddys,308,manager308@buddyrents.com,2004 W Walnut St. Suite 101,,Rogers,AR,72756,,,,,,,,,,,,,,,,,,,
12/31/2015,210033,359356061018035,Galaxy S6,SMPS6T12FA0-WX,,Buddys,308,manager308@buddyrents.com,2004 W Walnut St. Suite 101,,Rogers,AR,72756,,,,,,,,,,,,,,,,,,,
12/31/2015,210029,357942060386952,Galaxy S6 Edge,SMPS6T12FA0-WX,,Buddys,308,manager308@buddyrents.com,2004 W Walnut St. Suite 101,,Rogers,AR,72756,,,,,,,,,,,,,,,,,,,
12/31/2015,210031,359706060787735,Galaxy S6 Edge,SMPS6T12FA0-WX,,Buddys,308,manager308@buddyrents.com,2004 W Walnut St. Suite 101,,Rogers,AR,72756,,,,,,,,,,,,,,,,,,,
12/31/2015,100053,356988063523019,iphone 6,ACP6ST12FA0-WX,,Buddys,308,manager308@buddyrents.com,2004 W Walnut St. Suite 101,,Rogers,AR,72756,,,,,,,,,,,,,,,,,,,
