Date of Sale,Sku,Serial # (IMEI),Device Model,Warranty Sku,Contract ID,Customer Name,Ship To,Administrator Email,Address,Address 2,City,State,Zipcode,Administrator Phone,Store Location
7/13/2016,100010,13787003547798,iphone 5c,ACP5CT12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,200011,13896002409320,iphone 5c,ACP5CT12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,100012,13993000351628,iphone 5c,ACP5CT12FA0-WX,,TEX N Mex,376,manager376@buddyrents.com,1228 E 8TH St.,,ODESSA,TX,79761,(432) 253-0279,
7/13/2016,100001,13848005716383,iPhone 5s,ACP5ST12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,100003,13991001848535,iPhone 5s,ACP5ST12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,100066,32066069775083,iphone 6 plus,ACP6PT12FA0-WX,,Buddys Newco,18,manager18@buddyrents.com,12709 U.S. HWY 301,,Dade City,FL,33525,(352) 567-5200,
7/13/2016,100064,354385068573945,iphone 6 plus,ACP6PT12FA0-WX,,Buddys Newco,18,manager18@buddyrents.com,12709 U.S. HWY 301,,Dade City,FL,33525,(352) 567-5200,
7/13/2016,100067,354388064612840,iphone 6 plus,ACP6PT12FA0-WX,,Buddys,308,manager308@buddyrents.com,2011 W Walnut St. Suite 101,,Rogers,AR,72756,(479) 899-6969,
7/13/2016,100062,354454062134995,iphone 6 plus,ACP6PT12FA0-WX,,Buddys,339,manager339@buddyrents.com,5234 Rufe Snow Dr Suite A,,North Richland Hills,TX,76180,(682) 334-1029,
7/13/2016,100062,355876065873436,iphone 6 plus,ACP6PT12FA0-WX,,Buddys,339,manager339@buddyrents.com,5234 Rufe Snow Dr Suite A,,North Richland Hills,TX,76180,(682) 334-1029,
7/13/2016,100063,354385069442223,iphone 6 plus,ACP6PT12FA0-WX,,Buddys,337,manager337@buddyrents.com,230 S Armstrong Ave,,Dennison,TX,75020,(903) 213-5818,
7/13/2016,100063,354390067773207,iphone 6 plus,ACP6PT12FA0-WX,,Buddys,337,manager337@buddyrents.com,230 S Armstrong Ave,,Dennison,TX,75020,(903) 213-5818,
7/13/2016,100055,354411069922509,iphone 6,ACP6T12FA0-WX,,Buddys,339,manager339@buddyrents.com,5234 Rufe Snow Dr Suite A,,North Richland Hills,TX,76180,(682) 334-1029,
7/13/2016,100055,354443063892909,iPhone 6,ACP6T12FA0-WX,,Preferred sales & Leasing,437,manager437@buddyrents.com,1404 S Muskogee #7A,,Tahlequah,OK,74464,(918) 215-2180,
7/13/2016,100055,359229062823515,iphone 6,ACP6T12FA0-WX,,Buddys,308,manager308@buddyrents.com,2011 W Walnut St. Suite 101,,Rogers,AR,72756,(479) 899-6969,
7/13/2016,100058,359239065894124,iPhone 6,ACP6T12FA0-WX,,Preferred sales & Leasing,437,manager437@buddyrents.com,1404 S Muskogee #7A,,Tahlequah,OK,74464,(918) 215-2180,
7/13/2016,100055,359300063529045,iphone 6,ACP6T12FA0-WX,,Buddys,308,manager308@buddyrents.com,2011 W Walnut St. Suite 101,,Rogers,AR,72756,(479) 899-6969,
7/13/2016,100055,359302060191738,iphone 6,ACP6T12FA0-WX,,Buddys,339,manager339@buddyrents.com,5234 Rufe Snow Dr Suite A,,North Richland Hills,TX,76180,(682) 334-1029,
7/13/2016,200052,359027061652236,Samsung Tab 7.0,CP150T12FA0-WX,,Preferred sales & Leasing,437,manager437@buddyrents.com,1404 S Muskogee #7A,,Tahlequah,OK,74464,(918) 215-2180,
7/13/2016,100037,12802006400720,ipad 2,CP200T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,100038,12930009288139,ipad 2,CP200T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,100035,DN6FPHQ8DKPJ,ipad 2,CP200T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,100039,13214000079444,ipad 3,CP250T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,100040,13214006115689,ipad 3,CP250T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,100041,13216009786515,ipad 3,CP250T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,100040,13312005093871,ipad 3,CP250T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,100041,DMPH86WVDVD2,Apple ipad 3,CP250T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,100042,DMQHTNZDDJ8R,Apple ipad 3,CP250T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,100039,DN6H70P7DVD1,ipad 3,CP250T12FA0-WX,,Buddys,307,manager307@buddyrents.com,"1810 W. Sunset, Suite A",,Springdale,AR,72762,(479) 751-8808,
7/13/2016,200054,355955060107790,Samsung Tab S 10.5,CP300T12FA0-WX,,Preferred sales & Leasing,437,manager437@buddyrents.com,1404 S Muskogee #7A,,Tahlequah,OK,74464,(918) 215-2180,
